flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-03-04,14,15
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-03-04,14,15
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-03-04,14,15
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-03-04,14,15
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-03-04,14,15
Blueberry Honey Lavender,"Made with lavender water, wildflower honey, and blueberries from our pals at Bahama Bluebs!",2024-03-04,14,15
Tiramisu,Mascarpone and espresso ice cream with ladyfingers mixed in. (Contains alcohol),2024-03-04,14,15
Milk Chocolate Tahini,Made with Callebaut milk chocolate and tahini – like a chocolate-covered halva bar!,2024-03-04,14,15
Coney Island Adventure,A vanilla-caramel ice cream with chocolate-covered waffle cones and Caramel Delites.,2024-03-04,14,15
Guava Cheesecake,Guava ice cream with cheesecake pieces.,2024-03-04,14,15
Vegan Lemon Cookie (Vegan),A lemon-flavored coconut milk ice cream base with Girl Scout Lemonade cookies and Golden Oreos mixed in.,2024-03-04,14,15
Mexican Chocolate (Vegan),"Our (coconut-based) vegan chocolate flavor, with ancho chile, cinnamon, and cayenne pepper.",2024-03-04,14,15
Mango Tajín Sorbet (Vegan),Pretty much exactly what it sounds like.,2024-03-04,14,15
