flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-04-05,14,16
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-04-05,14,16
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-04-05,14,16
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-04-05,14,16
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-04-05,14,16
Irish Coffee,"Made with coffee, whiskey, and Irish cream!",2024-04-05,14,16
Tiramisu,Mascarpone and espresso ice cream with ladyfingers mixed in. (Contains alcohol),2024-04-05,14,16
Key Lime Pie,"We make whole key lime pies, then chop them up and mix the pieces into a key lime ice cream base. Wow!",2024-04-05,14,16
Birthday Cake,A vanilla cake flavored ice cream with loads of rainbow sprinkles and pieces of gluten-free yellow cake,2024-04-05,14,16
Mexican Chocolate (Vegan),"Our (coconut-based) vegan chocolate flavor, with ancho chile, cinnamon, and cayenne pepper.",2024-04-05,14,16
Vegan Black Sesame (Vegan),Our coconut milk ice cream base blended with Japanese black sesame paste.,2024-04-05,14,16
Guanábana Lime Sorbet (Vegan),"Guanábana a/k/a Soursop, a tropical fruit, makes for a super refreshing sorbet",2024-04-05,14,16
