flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-02-23,14,25
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-02-23,14,25
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-02-23,14,25
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-02-23,14,25
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-02-23,14,25
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-02-23,14,25
Caramel Oreo,It’s caramel. With Oreos!,2023-02-23,14,25
White Chocolate Pistachio,White chocolate ice cream with lots of toasted salted pistachio pieces mixed in.,2023-02-23,14,25
Sweet Cream,"Local milk from Simply Natural Creamery, mixed with heavy cream. Ice cream in its simplest form. Perfect with hot fudge!",2023-02-23,14,25
Milk chocolate lavender,Callebaut milk chocolate ice cream with lavender flower water.,2023-02-23,14,25
Apricot Sorbet (Vegan),NA,2023-02-23,14,25
Vegan Irish Coffee (Vegan),Our vegan coffee ice cream (made with Bean Traders espresso!) with Bushmills Irish whiskey.,2023-02-23,14,25
Vegan Cherry Chip (Vegan),"Our coconut-milk-based ice cream alternative, made with Amarena cherries, cherry liqueur, and chocolate flakes.",2023-02-23,14,25
