flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-06-03,14,17
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-06-03,14,17
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-06-03,14,17
Honey Lavender,"Lavender flower water, wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence… or maybe that’s just us.",2024-06-03,14,17
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-06-03,14,17
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-06-03,14,17
Peach Raspberry,"Made with peach and raspberry, obvs, but the secret ingredient is mascarpone cheese for an incredibly smooth texture!",2024-06-03,14,17
Hojicha Milk Tea,Made with Arteao hojicha and condensed milk.,2024-06-03,14,17
Orange Cream,"Remember those popsicles you ate as a kid? Yeah, just like those.",2024-06-03,14,17
Malted Milk Chocolate,Made with milk chocolate and malted milk powder. Delicious! Make it amazing by adding hot fudge and malt powder as a topping too!,2024-06-03,14,17
Toasted Coconut Oreo (Vegan),A coconut milk base with Oreo pieces and toasted coconut extract.,2024-06-03,14,17
Piña Colada (Vegan),"Our vegan coconut “ice cream” base, with pineapple and Cruzan pineapple rum mixed in.",2024-06-03,14,17
Strawberry Raspberry Sorbet (Vegan),With strawberries! And raspberries!,2024-06-03,14,17
