flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-01-05,14,15
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-01-05,14,15
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-01-05,14,15
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-01-05,14,15
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-01-05,14,15
Ginger Stracciatella,Ginger ice cream with dark chocolate flakes.,2024-01-05,14,15
Blackberry with Lemon Olive Oil Cake,Blackberry-vanilla ice cream with pieces of lemon olive oil cake mixed in.,2024-01-05,14,15
Milk and Cookies,A sweet cream ice cream base with pieces of brown butter chocolate chip cookies and sugar cookies.,2024-01-05,14,15
Butter Almond,Our butter pecan base with toasted chopped almonds instead of pecans.,2024-01-05,14,15
Orange Yuzu Sorbet (Vegan),Made with Mandarin puree and Japanese Yuzu juice.,2024-01-05,14,15
Black Forest Cake (Vegan),"Our vegan dark chocolate base with Amarena and Morello cherries, and pieces of chocolate cake.",2024-01-05,14,15
