flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-04-01,14,19
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-04-01,14,19
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-04-01,14,19
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-04-01,14,19
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-04-01,14,19
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-04-01,14,19
Cherry Chip,Cherry ice cream base with chocolate flakes.,2023-04-01,14,19
Salty Malty Cookie Gravel,A salted vanilla malt base with the addition of every type of cookie we’ve ever baked! *Not safe for those with food allergies.,2023-04-01,14,19
Raspberry Cheesecake,Ice cream made with raspberry puree and chunks of NY-style cheesecake.,2023-04-01,14,19
Apricot Sorbet (Vegan),NA,2023-04-01,14,19
Vegan Irish Coffee (Vegan),Our vegan coffee ice cream (made with Bean Traders espresso!) with Bushmills Irish whiskey.,2023-04-01,14,19
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2023-04-01,14,19
