flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-07-25,14,15
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-07-25,14,15
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-07-25,14,15
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-07-25,14,15
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-07-25,14,15
Peach,Made with fresh South Carolina peaches.,2023-07-25,14,15
Saigon Cinnamon,Made with…Saigon cinnamon!,2023-07-25,14,15
Blueberry Honey Lavender,"Made with lavender water, wildflower honey, and blueberries from our pals at Bahama Bluebs!",2023-07-25,14,15
Salty Malty Vanilla,Just exactly what it sounds like. Malt powder and sea salt in our vanilla base.,2023-07-25,14,15
Blackberry,Made with 100% NC blackberries.,2023-07-25,14,15
Mexican Chocolate (Vegan),"Our (coconut-based) vegan chocolate flavor, with ancho chile, cinnamon, and cayenne pepper.",2023-07-25,14,15
Watermelon Lime Sorbet (Vegan),It’s made with watermelon…and lime,2023-07-25,14,15
Vegan Chai (Vegan),NA,2023-07-25,14,15
