flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2022-11-10,14,41
Chocolate,Made with cocoa powder and Callebaut chocolate.,2022-11-10,14,41
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2022-11-10,14,41
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2022-11-10,14,41
Vietnamese Coffee,"Why “Vietnamese”? We use espresso beans (from Bean Traders) and sweetened condensed milk, just like you’d get in a Vietnamese restaurant (or a Thai restaurant, or Guglhupf)",2022-11-10,14,41
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2022-11-10,14,41
Pear Brie,"Brie cheese is melted into our ice cream base, then we add fresh pear purée.",2022-11-10,14,41
Maple Brown Butter,Brown butter+maple syrup: tastes like pancakes!,2022-11-10,14,41
Milk Chocolate Molasses Gingersnap,Milk chocolate molasses ice cream with pieces of Ninth Street Bakery gingersnaps.,2022-11-10,14,41
London Fog,Earl grey tea and oil of bergamot are steeped in cream for an ice cream reminiscent of that well-known coffeehouse beverage.,2022-11-10,14,41
Sweet potato,"Roasted local sweet potatoes, dark brown sugar, and a bit of cinnamon. Our favorite flavor! Try it in a waffle cone with whipped cream, or in a dish with pralined pecans.",2022-11-10,14,41
Bourbon Butter Pecan,"First, we make a sauce with butter, cream, brown sugar, vanilla, and of course, bourbon. Then we add that to our ice cream base, along with toasted pecan pieces.",2022-11-10,14,41
Vegan S’mores (Vegan),"We add marshmallow creme to our vegan coconut-oat milk base, then mix in lots of chocolate-covered graham cracker pieces.",2022-11-10,14,41
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2022-11-10,14,41
Apple cider sorbet (Vegan),"Made with apple cider, fresh apple purée, and mulling spices.",2022-11-10,14,41
