flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-02-17,14,14
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-02-17,14,14
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-02-17,14,14
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-02-17,14,14
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-02-17,14,14
Ginger Stracciatella,Ginger ice cream with dark chocolate flakes.,2024-02-17,14,14
Blueberry Honey Lavender,"Made with lavender water, wildflower honey, and blueberries from our pals at Bahama Bluebs!",2024-02-17,14,14
Cardamom Oatmeal Cookie,Cardamom ice cream base with pieces of oatmeal cookies mixed in!,2024-02-17,14,14
Girl Scout Mint,Thin Mint cookies are crushed and added to peppermint ice cream base.,2024-02-17,14,14
Vegan Lemon Cookie (Vegan),A lemon-flavored coconut milk ice cream base with Girl Scout Lemonade cookies and Golden Oreos mixed in.,2024-02-17,14,14
Mimosa Sorbet (Vegan),Made with orange purée and sparkling wine.,2024-02-17,14,14
Toasted Coconut (Vegan),Toasted coconut flakes mixed into a coconut-milk base.,2024-02-17,14,14
