flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-07-19,14,17
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-07-19,14,17
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-07-19,14,17
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-07-19,14,17
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-07-19,14,17
Cookie Dough,"The staff have been requesting this one for ages, so we finally made it happen!",2024-07-19,14,17
Coffee Stracciatella,Coffee ice cream with lots of homemade magic shell mixed in.,2024-07-19,14,17
Mandarin Yuzu,"A super fancy version of a creamsicle, basically. Made with yuzu juice from Yakami Orchard in Japan.",2024-07-19,14,17
Plum Lassi,"Made with homemade NC plum jam, cardamom, and Seven Stars yogurt.",2024-07-19,14,17
Summer Corn with Blueberry Swirl,"Sweet local corn, with a swirl of fresh local blueberries!",2024-07-19,14,17
Mango Jalapeño Sorbet (Vegan),"Sweet, spicy, and tangy. A perfect summer refresher!",2024-07-19,14,17
Vegan Blueberry Lemon (Vegan),Blueberry lemon ice cream with Girl Scouts Lemonades cookie pieces mixed in.,2024-07-19,14,17
Vegan Saigon Cinnamon (Vegan),A coconut cream ice cream with Vietnamese cinnamon – kinda reminds us of Cinnamon Toast Crunch.,2024-07-19,14,17
