flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-05-04,14,16
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-05-04,14,16
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-05-04,14,16
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-05-04,14,16
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-05-04,14,16
Irish Coffee,"Made with coffee, whiskey, and Irish cream!",2024-05-04,14,16
Strawberry,We start with whole local strawberries and prep them by hand for this classic flavor.,2024-05-04,14,16
Fresh Mint,"We steep fresh mint in our ice cream base and then strain it out before churning. If you miss the chocolate chips, try it in a Classic Hot Fudge or Brownie Sundae!",2024-05-04,14,16
Birthday Cake,A vanilla cake flavored ice cream with loads of rainbow sprinkles and pieces of gluten-free yellow cake,2024-05-04,14,16
Guanábana Lime Sorbet (Vegan),"Guanábana a/k/a Soursop, a tropical fruit, makes for a super refreshing sorbet",2024-05-04,14,16
Vegan Vanilla Chip (Vegan),A vanilla oat milk ice cream with chocolate flakes mixed in (contains coconut oil),2024-05-04,14,16
Chocolate Banana (Vegan),"As delicious as it sounds, this flavor’s coconut milk base makes it vegan.",2024-05-04,14,16
