flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-11-05,14,22
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-11-05,14,22
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-11-05,14,22
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-11-05,14,22
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk.,2025-11-05,14,22
Tea & Toast,London Fog ice cream with housemade toasted brioche and orange marmalade.,2025-11-05,14,22
Death by Chocolate,"Chocolate ice cream made with 66% dark chocolate and black cocoa powder, with brownies and fudge mixed in.",2025-11-05,14,22
Pumpkin Stracciatella,Our seasonal pumpkin ice cream with the addition of dark chocolate flake.,2025-11-05,14,22
Honey Butter Pretzel,A salted Irish butter and honey base with chunks of candied pretzel crunch.,2025-11-05,14,22
Brown Butter Walnut Brittle,Brown butter ice cream with chunks of white-chocolate-coated walnut brittle,2025-11-05,14,22
Mexican Chocolate (Vegan),"Our (coconut-based) vegan chocolate flavor, with ancho chile, cinnamon, and cayenne pepper.",2025-11-05,14,22
Cranberry Pear Sorbet (Vegan),"Made with cranberry and pear purées, and a hint of lemon.",2025-11-05,14,22
Vegan Pumpkin Spice Latte (Vegan),"Made with pumpkin, espresso, and warming spices.",2025-11-05,14,22
