flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-03-10,14,19
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-03-10,14,19
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-03-10,14,19
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-03-10,14,19
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-03-10,14,19
Whiskey Truffle,Irish whiskey ice cream with dark chocolate truffles mixed in.,2025-03-10,14,19
Guinness Cookie Gravel,Guinness stout ice cream with cookie gravel mixed in.,2025-03-10,14,19
Triple Chip Cookie,White chocolate ice cream with our housemade triple chip cookies mixed in swirled with dark chocolate ice cream with triple chip cookies mixed in. A labor of love!,2025-03-10,14,19
Honey Chai,Chai+wildflower honey.,2025-03-10,14,19
(Vegan) Girl Scout Mint (Vegan),Coconut-based peppermint “ice cream” with pieces of Thin Mint™ Girl Scout Cookies.,2025-03-10,14,19
Vegan Pistachio (Vegan),"A pea protein vegan ice cream, made with pure Italian pistachio paste.",2025-03-10,14,19
Mango Sorbet (Vegan),NA,2025-03-10,14,19
