flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-01-02,14,17
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-01-02,14,17
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-01-02,14,17
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-01-02,14,17
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-01-02,14,17
Milk and Cookies,A sweet cream ice cream base with pieces of brown butter chocolate chip cookies and sugar cookies.,2025-01-02,14,17
Gingerbread,A spiced molasses ice cream base with lots of gingerbread cake pieces mixed in.,2025-01-02,14,17
Tuxedo Peppermint Bark,A peppermint ice cream base with lots of white chocolate peppermint bark pieces mixed in.,2025-01-02,14,17
Eggnog,"This flavor inspired by the holiday classic is made with eggnog, bourbon, and nutmeg.",2025-01-02,14,17
Pineapple Champagne Sorbet (Vegan),A festive flavor to celebrate the new year.,2025-01-02,14,17
Dark chocolate orange (Vegan),Tastes exactly like a Terry’s chocolate orange.,2025-01-02,14,17
