flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-02-02,14,16
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-02-02,14,16
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-02-02,14,16
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-02-02,14,16
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-02-02,14,16
Miso Pineapple,A mellow white miso ice cream with homemade pineapple jam swirled in.,2025-02-02,14,16
Cookie Dough Cheesecake Bark,A vanilla ice cream base with cheesecake pieces and chocolate chip cookie dough bark mixed in.,2025-02-02,14,16
Mint Chocolate chip,Peppermint ice cream with dark chocolate flakes.,2025-02-02,14,16
Vegan S'mores (Vegan),"Our coconut cream ice cream base infused with marshmallow creme, with lots of chocolate-covered graham crackers mixed in.",2025-02-02,14,16
Coconut Calamansi Curd (Vegan),Coconut ice cream and calamansi ice cream swirled together – two flavors in one!,2025-02-02,14,16
Apple cider sorbet (Vegan),"Made with apple cider, warming spices, and fresh apple purée.",2025-02-02,14,16
