flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-09-04,14,21
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-09-04,14,21
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-09-04,14,21
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-09-04,14,21
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk.,2025-09-04,14,21
Plum Cardamom,"A plum and crème fraîche ice cream with cardamom, vanilla, and a hint of orange.",2025-09-04,14,21
Lime Cookie Crunch,Lime ice cream with lime cookie crunch.,2025-09-04,14,21
Cherry Bourbon Cake,Our collab with Chez Moi Bakery – a sour+amarena cherry ice cream with chunks of Red Stag bourbon cake mixed in. Not for the kiddos!,2025-09-04,14,21
Lavender Stracciatella,Lavender ice cream with housemade magic shell swirled through.,2025-09-04,14,21
Butter Pecan,"A classic, here by popular demand.",2025-09-04,14,21
Vegan Pumpkin Biscoff (Vegan),A vegan pumpkin and cookie butter ice cream with lots of Biscoff cookie pieces mixed in.,2025-09-04,14,21
Coffee Cookies + Cream (Vegan),vegan coffee base with Oreo pieces!,2025-09-04,14,21
Strawberry Watermelon Sorbet (Vegan),With strawberries. And watermelon!,2025-09-04,14,21
