flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-02-05,14,20
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-02-05,14,20
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-02-05,14,20
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-02-05,14,20
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-02-05,14,20
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-02-05,14,20
Caramel Oreo,It’s caramel. With Oreos!,2023-02-05,14,20
Mint Chocolate chip,Peppermint ice cream with dark chocolate flakes.,2023-02-05,14,20
Milk chocolate lavender,Callebaut milk chocolate ice cream with lavender flower water.,2023-02-05,14,20
Maple Walnut,A classic. Made with maple syrup and toasted walnuts. You probably would have guessed that.,2023-02-05,14,20
Strawberry Oreo (Vegan),NA,2023-02-05,14,20
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2023-02-05,14,20
Vegan Cherry Chip (Vegan),"Our coconut-milk-based ice cream alternative, made with Amarena cherries, cherry liqueur, and chocolate flakes.",2023-02-05,14,20
