flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-02-21,14,17
Honey Lavender,"Lavender flower water, wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence… or maybe that’s just us.",2025-02-21,14,17
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-02-21,14,17
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-02-21,14,17
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-02-21,14,17
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-02-21,14,17
Salted Caramel Brownie,"What if we took our beloved Salted Butter Caramel ice cream and just mixed chunks of our homemade brownies right into it? What then?Well, we did that, and it’s good, so we’re calling it Salted Caramel Brownie and scooping it for you!",2025-02-21,14,17
Coffee Date,Coffee ice cream with pieces of chocolate chip cookies and butter cookies. [does not contain dates—we just thought it was a cute name],2025-02-21,14,17
Raspberry Truffle,Vanilla ice cream with chocolate-raspberry truffles and raspberry swirl.,2025-02-21,14,17
Devil’s Food Cake,Milk chocolate ice cream with pieces of devil’s food cake and a dark chocolate ganache swirl.,2025-02-21,14,17
Dark Chocolate Brownie (Vegan),A vegan dark chocolate ice cream (pea protein base) with our housemade vegan pecan brownies mixed in.,2025-02-21,14,17
Strawberry Vanilla (Vegan),A vegan pea protein based ice cream made with strawberry purée and vanilla.,2025-02-21,14,17
Strawberry Rose Sorbet (Vegan),Strawberry sorbet with pure rosewater blended in.,2025-02-21,14,17
