flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-03-25,14,20
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-03-25,14,20
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-03-25,14,20
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-03-25,14,20
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-03-25,14,20
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-03-25,14,20
Cookie Butter,Ice cream made with Biscoff cookies and Lotus Biscoff cookie butter.,2023-03-25,14,20
Salty Malty Cookie Gravel,A salted vanilla malt base with the addition of every type of cookie we’ve ever baked! *Not safe for those with food allergies.,2023-03-25,14,20
Raspberry Cheesecake,Ice cream made with raspberry puree and chunks of NY-style cheesecake.,2023-03-25,14,20
Girl Scout Mint,Thin Mint cookies are crushed and added to peppermint ice cream base.,2023-03-25,14,20
Apricot Sorbet (Vegan),NA,2023-03-25,14,20
Vegan Irish Coffee (Vegan),Our vegan coffee ice cream (made with Bean Traders espresso!) with Bushmills Irish whiskey.,2023-03-25,14,20
Vegan Chocolate Cookie Gravel (Vegan),Our vegan chocolate ice cream with crushed cookies and brownies mixed in. Contains nuts!,2023-03-25,14,20
