flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2026-01-24,14,22
Chocolate,Made with cocoa powder and Callebaut chocolate.,2026-01-24,14,22
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2026-01-24,14,22
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2026-01-24,14,22
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk.,2026-01-24,14,22
Bourbon Brown Sugar Caramel Truffle,NA,2026-01-24,14,22
Blackberry Amaretti Cheesecake,Blackberry cream cheese base with gluten free almond cookie crumbles,2026-01-24,14,22
Malted Milk Chocolate Cookie Gravel,"A malty milk chocolate base, with crumbs of cookies throughout",2026-01-24,14,22
Chocolate Chip Cookie Dough,Featuring chunks of cookie dough we make from scratch,2026-01-24,14,22
Coffee Cookies + Cream (Vegan),vegan coffee base with sandwich cookie pieces!,2026-01-24,14,22
Dark chocolate orange (Vegan),Tastes exactly like a Terry’s chocolate orange.,2026-01-24,14,22
