flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-12-16,14,20
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-12-16,14,20
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-12-16,14,20
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-12-16,14,20
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-12-16,14,20
Milk Chocolate Molasses Stracciatella,Our milk chocolate ice cream with Muddy Pond sorghum molasses and housemade magic shell.,2024-12-16,14,20
Gingerbread,A spiced molasses ice cream base with lots of gingerbread cake pieces mixed in.,2024-12-16,14,20
Milk and Cookies,A sweet cream ice cream base with pieces of brown butter chocolate chip cookies and sugar cookies.,2024-12-16,14,20
Tuxedo Peppermint Bark,A peppermint ice cream base with lots of white chocolate peppermint bark pieces mixed in.,2024-12-16,14,20
Pumpkin Pie,? IT IS FALL! ? Celebrate with our pumpkin pie ice cream.,2024-12-16,14,20
Sweet potato,"Roasted local sweet potatoes, dark brown sugar, and a bit of cinnamon. Our favorite flavor! Try it in a waffle cone with whipped cream, or in a dish with pralined pecans.",2024-12-16,14,20
Eggnog,"This flavor inspired by the holiday classic is made with eggnog, bourbon, and nutmeg.",2024-12-16,14,20
Vegan Peppermint Brownie (Vegan),Mint ice cream with pieces of peppermint brownies mixed in. *Vegan brownies are gluten free and contain almond flour,2024-12-16,14,20
Dark chocolate orange (Vegan),Tastes exactly like a Terry’s chocolate orange.,2024-12-16,14,20
